"Patch_ID","Survey_to_Reef_Dist","Species","Life_Stage","Presence","Presence_Category","Abundance","Density","Survey_Area","Long_M","Lat_M","Habitat","Mangrove_Dist","Reef_Dist","Depth","Slope","BPI_Broad","Mean_Sum_Temp","Mean_Sum_Sal","Mean_Win_Temp","Mean_Win_Sal","Patch_Area","PA_Ratio","Patch_Neigh_Dist","Area_CRHB","Area_SG","Pred_Density","Object_ID"
4633,0,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,268434.1594,88685.34384,1,4694.406738,1564.2387695,-6.213996887,0.392478645,-8,30.31202316,35.54755402,23.36931038,36.3123703,1129.01801081049,8.45887856148717,13.7222333794151,18725.5056463507,632374.106765994,0.00282485875706215,206
257,0.838606686381977,"LUT GRIS","SUBADULT","1","PRESENCE",25.75,0.145480225988701,177,203566.8494,40703.00023,4,4805.803223,1518.8582764,-8.724730492,1.259978533,-8,30.52109909,35.77669907,23.77336121,36.04982758,72122.0521835011,38.7912901812824,4.45793716307108,75795.9458353552,453000.165733407,0.198785310734463,89
1680,0,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,281342.0084,111535.182,1,6147.331543,3128.994873,-9.027405739,0.790856361,-8,30.45166969,35.5182724,23.35327148,36.20892715,7423.39073130162,12.5776622695384,13.5143016096361,138904.177057254,641214.978549832,0.0564971751412429,259
146,0,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,167914.4491,29776.33075,1,4862.594238,3335.4162598,-10.1672802,1.092545986,64,30.43045807,35.58335114,24.35036469,36.03313446,24088.9753481475,38.6444681483837,39.3340630591309,71718.5744532508,207743.15249506,0.00564971751412429,41
392,0.82331005679406,"LUT GRIS","SUBADULT","1","PRESENCE",1.875,0.0105932203389831,177,206659.9188,43278.25329,3,4367.285156,3686.5537109,-6.861563206,0.24294728,64,30.6105938,35.51118851,23.90589333,36.00511169,3093.08241698804,9.47631845744008,9.14678080337864,89664.0438162197,674153.873360223,0,93
1677,0,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,283416.7602,114654.2275,1,6074.047363,1819.9494629,-8.635071754,3.182574272,-8,30.46961975,35.51249313,23.38367844,36.08994675,1521.88354053219,9.49501584087472,12.8857558318362,127230.342165917,658165.515012772,0.00282485875706215,287
6285,0,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,286167.9363,124801.7371,1,4648.143066,1199.3503418,-7.092907906,3.322898388,137,30.49072266,35.51097488,23.39348793,36.57271576,6189.14287474104,17.2772646240849,5.27055781470032,144651.723654014,633001.832415259,0,403
2355,2.13646798920804,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,284763.1962,119652.3605,3,4809.974609,2765.7106934,-8.387647629,3.435852766,64,30.49269295,35.51097488,23.34056664,36.27529907,1122.31205726234,7.93369634586348,21.2431795628753,177734.702424167,602292.188024814,0,345
2197,0,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,284784.8045,121010.7168,1,4641.686035,2895.3552246,-5.538110733,0.318246335,64,30.49237442,35.51097488,23.31067657,36.39770126,1106.22969052084,7.58082797601988,27.9339064655602,107834.327899757,669421.197231592,0.00282485875706215,362
5986,14.0906602065445,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,285465.3146,125366.6763,3,3709.112549,1899.472168,-9.439142227,1.11884141,-8,30.47928429,35.51097488,23.30265999,36.64069748,479.327618979664,5.13134210193159,13.0448588161815,82476.4731116947,701883.334075232,0.0169491525423729,408
2530,0.459898811638263,"LUT GRIS","SUBADULT","1","PRESENCE",2.5,0.0141242937853107,177,285237.8624,117311.1635,8,6254.234375,1324.1525879,-10.7781601,0.560764968,-8,30.48574066,35.51097488,23.44859505,36.02596664,773.401448320222,6.73346786025745,9.13715554619736,129811.736253171,652766.919073484,0.00706214689265537,327
3226,4.34965777719471,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,283471.9801,114676.7266,3,6107.331543,1768.2337646,-8.833725929,2.652106762,-8,30.46953583,35.51218033,23.38834572,36.0843544,748.644796181517,7.47454738073865,5.98059211697782,126117.437649492,658442.21885186,0,288
562,0,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,192903.8881,37034.81888,1,3394.970459,2792.6806641,-6.738772869,0.729551136,209,30.57843971,35.51097488,23.87596703,35.81487274,9724.28435452734,18.1424770979247,17.2650134705485,160363.230125976,579979.270129932,0.00282485875706215,65
5807,0,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,286762.7132,125678.5666,3,4878.635254,468.9949646,-9.337973595,0.423098952,-8,30.49048042,35.51097488,23.45453453,36.55717468,1794.13385781129,7.6154851180053,2.67124227352035,147117.832348735,619703.001708961,0,420
1531,0,"LUT GRIS","SUBADULT","1","PRESENCE",3.625,0.0204802259887006,177,264128.6091,77229.12068,1,9293.610352,126.9238815,-7.833960533,1.608633995,137,30.06592941,35.58291626,23.81289673,36.27033997,8529.22963870672,25.1683108665162,13.2447196866596,303618.465569506,373139.680100631,0.201977401129944,142
1103,0,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,245587.9644,68677.49467,1,1944.005371,880.1219482,-4.14561367,4.339845657,-8,30.67078209,35.96259308,24.02916527,36.32269669,6871.25795422382,14.8402518064831,8.98719288774587,667423.295665534,87834.4628115828,0.196327683615819,131
6604,0,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,286599.0852,128896.9533,1,4017.634521,283.9949646,-6.72815609,0.408729911,64,30.46099663,35.54072571,23.369133,36.61700439,1701.71524456719,7.31940486477485,1.53760906491392,93128.2292456179,680030.249527795,0,438
